,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
11,Barbara Malmet,@B52Malmet,2021-11-01T23:51:03.000Z,"Barbara Malmet
@B52Malmet
·
11월 2일","This is a timely and important #covid read. These are the q’s: “Are we trying to prevent hospitalization? Are we trying to prevent death? Are we trying to prevent transmission?Different goals would require prioritizing different strategies.”
theatlantic.com
America Has Lost the Plot on COVID
We’re avoiding the hardest questions about living with the coronavirus long term.
6
17
45",,6,17,45,['https://pbs.twimg.com/card_img/1457748754799501321/hVWGoopn?format=jpg&name=small'],https://twitter.com/B52Malmet/status/1455321520008540164
12,Church Curmudgeon,@ChrchCurmudgeon,2021-11-01T23:48:04.000Z,"Church Curmudgeon
@ChrchCurmudgeon
·
11월 2일","Can't wait until this whole COVID thing is over and Twitter goes back to being in person.
3
10
172",,3,10,172,[],https://twitter.com/ChrchCurmudgeon/status/1455320767361523713
13,Dr./Prof. Sarah Hörst,@PlanetDr,2021-11-01T23:53:39.000Z,"Dr./Prof. Sarah Hörst
@PlanetDr
·
11월 2일","Girls who aren’t old enough to get vaccinated against Covid being forced to carry a child to term. 

This timeline is absolutely cruel.
Ty Ross
@cooltxchick
 · 11월 2일
Researching a piece to write on the 11 yr old girl in Brazil pregnant by her grandfather & the Church’s intervening to stop the termination led me to shocking news. In the past month seven 12 yr old girls in TX who are pregnant, have gone to the Dallas Children’s Advocacy Center
이 스레드 보기
2
18
75",,2,18,75,['https://pbs.twimg.com/profile_images/1243525861040685057/0rjyHvD9_mini.jpg'],https://twitter.com/PlanetDr/status/1455322172579266564
14,New York Daily News,@NYDailyNews,2021-11-01T23:52:12.000Z,"New York Daily News
@NYDailyNews
·
11월 2일","A substitute teacher was suspended for telling a class of mostly Chinese-American fifth-graders in Brooklyn that COVID-19 was developed by China in a lab — one of other allegedly inflammatory remarks.
nydailynews.com
NYC substitute teacher suspended after inflammatory comments on COVID-19, China
The substitute, who said she’s been a teacher for 37 years, is barred from working in DOE while its Office of Equal Opportunity investigates.
15
39
37",,15,39,37,['https://pbs.twimg.com/card_img/1460395263726845952/9lehngaE?format=jpg&name=small'],https://twitter.com/NYDailyNews/status/1455321807725150211
15,ET Canada,@ETCanada,2021-11-01T23:54:54.000Z,"ET Canada
@ETCanada
·
11월 2일","Vocal anti-vaxxer Kristy Swanson hospitalized with COVID-19 
http://etcnda.com/EO1T50GCTLr
5
7
20",,5,7,20,['https://pbs.twimg.com/media/FDJYF3HXoAswGpu?format=jpg&name=small'],https://twitter.com/ETCanada/status/1455322489073061888
16,Chris Vanderveen,@chrisvanderveen,2021-11-01T23:51:59.000Z,"Chris Vanderveen
@chrisvanderveen
·
11월 2일","I detest having to block people.  But I’m in no mood to have any conversation with an anonymous account that just exists to troll nonsense about covid.  

Easier than having to leave that garbage under my tweets.  

Sorry.
9
3
216",,9,3,216,[],https://twitter.com/chrisvanderveen/status/1455321754017042433
17,Mommy Mac,@MrsMcknz,2021-11-01T23:54:56.000Z,"Mommy Mac
@MrsMcknz
·
11월 2일","The anti-vaxxers are stooping to a new low and claiming parents are faking positive COVID tests at the MPS school board meeting. When my daughter was sent home and needed a test to return, I had to provide proof (negative or positive). These people are nuts.
1
1
14",,1,1,14,[],https://twitter.com/MrsMcknz/status/1455322498044674049
18,"Sheila Cherfilus-McCormick, JD",@Sheila4Congress,2021-11-01T23:49:34.000Z,"Sheila Cherfilus-McCormick, JD
@Sheila4Congress
·
11월 2일","Economic recovery from the impact of COVID-19 has focused too much on corporations and not the people. The people need access to relief. The People's Prosperity Plan is an answer to this situation. http://PeoplesProsperityPlan.com #EconomicJustice
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
8
10",,,8,10,[],https://twitter.com/Sheila4Congress/status/1455321148330229760
19,"Christin Glorioso, MD PhD",@DrGlorioso,2021-11-01T23:58:54.000Z,"Christin Glorioso, MD PhD
@DrGlorioso
·
11월 2일","Vaccines are ~5X better at preventing COVID infection than ""natural immunity"" according to a new study by the CDC.
linkedin.com
Christin Glorioso, MD PHD on LinkedIn: Laboratory-Confirmed COVID-19 Among Adults Hospitalized ...
Vaccines are ~5X better at preventing COVID infection than ""natural immunity"" according to a new study by the CDC. They included corrections for time...
4
3",,,4,3,['https://pbs.twimg.com/card_img/1460413018265686018/cb7W6tyx?format=jpg&name=360x360'],https://twitter.com/DrGlorioso/status/1455323493642297344
20,BoopsmyBoops,@BoopsmyBoops,2021-11-01T23:59:16.000Z,"BoopsmyBoops
@BoopsmyBoops
·
11월 2일","So tomorrow at 5:30 in the morning I will be checking in at the hospital. After a covid test I will hopefully be moved into the or by 7am. From there the surgery is expected to last between 6 and 8 hours but depending on the situation once they get in there it could change.
11
3
27",,11,3,27,[],https://twitter.com/BoopsmyBoops/status/1455323586181337090
21,AFP News Agency,@AFP,2021-11-01T23:55:00.000Z,"AFP News Agency
@AFP
·
11월 2일","Tonga's main island has gone into a week-long lockdown just days after the Pacific nation recorded its first case of Covid-19
news.yahoo.com
Tonga enters lockdown after first Covid case recorded
Tonga's main island entered a week-long lockdown Tuesday just days after recording its first case of Covid-19, ending the Pacific nation's run as one of the last virus-free places in the world.
2
26
31",,2,26,31,['https://pbs.twimg.com/card_img/1460401748951330816/YqkWzZSm?format=jpg&name=small'],https://twitter.com/AFP/status/1455322512535920645
22,Sport Australia,@sportaustralia,2021-11-01T23:55:17.000Z,"Sport Australia
@sportaustralia
·
11월 2일","Our latest #AusPlay figures are available now. 
Almost three million Australians volunteer in sport, but more support is needed to ensure organised sport returns stronger than ever following the impact of the COVID-19 pandemic.   
Read more: https://clearinghouseforsport.gov.au/research/ausplay/results…
1
5",,,1,5,['https://pbs.twimg.com/amplify_video_thumb/1455322012008665089/img/4eujB_gvV-KP3qpD.jpg'],https://twitter.com/sportaustralia/status/1455322585445457920
23,Sunny,@sunchartist,2021-11-01T23:51:20.000Z,"Sunny
@sunchartist
·
11월 2일","90%+ in Delhi have Covid antibodies: 6th sero study 
Delhi reaching heard immunity
hindustantimes.com
90%+ in Delhi have Covid antibodies: 6th sero study
Samples from 28,000 people were tested to see if they had antibodies to the virus, which causes Covid-19, and over 90% of them turned up positive
1
2
5",,1,2,5,[],https://twitter.com/sunchartist/status/1455321591336759297
24,Gene Faltus,@FaltusEugene,2021-11-01T23:54:40.000Z,"Gene Faltus
@FaltusEugene
·
11월 2일","So, commissioner Edelblut wants to recruit antivax anti mask teachers from other states to address teacher shortages? We need more covid? I want to recruit high intelligence people to address the stupidity problem in state government under the 
@NHGOP
 @GovChrisSununu
 #NHPolitics
2
9
28",,2,9,28,[],https://twitter.com/FaltusEugene/status/1455322429006487554
25,Kathy Chung,@kathychung,2021-11-01T23:48:40.000Z,"Kathy Chung
@kathychung
·
11월 2일","My colleague 
@Historylady2013
 is doing her PhD on smallpox vaccine resistance 1864-1919. You will all be shocked - shocked, I tell you! - to know that the anti-vax rhetoric from then is pretty much identical to the anti-vax nonsense for Covid. Plus ça change...
1
3
17",,1,3,17,[],https://twitter.com/kathychung/status/1455320920868864002
26,The Universe Lover,@evren__7,2021-11-01T23:52:31.000Z,"The Universe Lover
@evren__7
·
11월 2일","the legit funniest thing I've heard during all of Covid is my buddy's coworker, who used to be a fireman, dying unvaccinated because ""all that smoke I inhaled over the years toughened up my lungs""
FDNY UFA
@UFANYC
 · 11월 1일
Due to the unconstitutional mandates being forced upon our firefighters, members of E243 & L168 are being sent home, thus forcing the firehouse to close and become out of service. This will put the lives of New Yorkers at risk and this is only the beginning. #StopTheMandate
2
1
38",,2,1,38,"['https://pbs.twimg.com/profile_images/714493910995836928/3fEgOT7T_mini.jpg', 'https://pbs.twimg.com/media/FDHZh5RXoAA_hku?format=jpg&name=small']",https://twitter.com/evren__7/status/1455321887249088512
27,Jeffrey P. Snider,@JeffSnider_AIP,2021-11-01T23:55:22.000Z,"Jeffrey P. Snider
@JeffSnider_AIP
·
11월 2일","China's Non-M PMI showed how Aug's decline might have been COVID but it didn't really explain the weakness (it just made a bad and worsening situation worse). 

China Non-M among lowest in the series in Oct. Not a ""growth scare"", it's predictable.  

https://alhambrapartners.com/2021/11/01/decoupling-from-inflation-maybe/…
1
6
27",,1,6,27,['https://pbs.twimg.com/media/FDJYHXIXIAEUW5N?format=png&name=small'],https://twitter.com/JeffSnider_AIP/status/1455322605464875010
28,D.A. Market Securities,@itradeph,2021-11-01T23:56:44.000Z,"D.A. Market Securities
@itradeph
·
11월 2일","Happy

OCTA research says less than 5% positivity rate in Metro Manila ‘ideal’, shows drop in COVID-19 infections

All 17 LGUs in NCR now low risk for COVID-19
3
21",😊,,3,21,[],https://twitter.com/itradeph/status/1455322950530338819
29,Ellen Roseman,@ellenroseman,2021-11-01T23:51:50.000Z,"Ellen Roseman
@ellenroseman
·
11월 2일","From U of T:

Members of our community have received an email purporting to be from the 'COVID-19 Support Team,’ encouraging recipients to visit the U of T ‘giveaway page’ to be eligible for a one-time cash award. These emails are fraudulent and should be deleted immediately.
1
5
3",,1,5,3,[],https://twitter.com/ellenroseman/status/1455321715517571072
30,lying chadsexual foid,@pestoIuvr,2021-11-01T23:57:18.000Z,"lying chadsexual foid
@pestoIuvr
·
11월 2일","u know i came to college maybe expecting i would be exposed to COVID but fucking tuberculosis was not on my list
1
27",,1,,27,[],https://twitter.com/pestoIuvr/status/1455323093472358412
31,Henry Schulman,@hankschulman,2021-11-01T23:59:36.000Z,"Henry Schulman
@hankschulman
·
11월 2일","Before vaccines were available, the risk of myocarditis was (IIRC) 16 times higher for COVID-positives than the general population. Last week, Israel’s largest healthcare provider reported 57 myocarditis cases out of 2.5m fully vaccinated patients. One death. Yes, higher …
Mark Williams
@GiantsNerd
 · 11월 2일
@AllMinkah 님과 @hankschulman 님에게 보내는 답글
Hey genius, myocarditis can also happen if you get COVID, and at a much, much higher rate than the vaccine might cause. https://espn.com/college-sports/story/_/id/31520872/study-big-ten-athletes-suggests-higher-risk-post-covid-heart-problems…
2
19",,2,,19,['https://pbs.twimg.com/profile_images/478731428146851840/qXtFcfnM_mini.jpeg'],https://twitter.com/hankschulman/status/1455323671157870593
32,Laurel Mac,@MAWoodlandLady,2021-11-01T23:50:23.000Z,"Laurel Mac
@MAWoodlandLady
·
11월 2일","He suggests that Dems “might also want to consider focusing on the problems that people tell pollsters they care about, rather than on the whims of D.C. interest groups.”

They’re fighting Covid and Climate change and the infrastructure bill is all about what real people want.
2
4",,,2,4,[],https://twitter.com/MAWoodlandLady/status/1455321352580255754
33,Heughligans,@Heughligans,2021-11-01T23:58:19.000Z,"Heughligans
@Heughligans
·
11월 2일","Get yourself in the festive mooood w/ our Beannachdan na Ràithe #BlessingsoftheSeason gear from #Bonfire 
Campaign runs until Nov 12th benefitting ⁦
@alexs_journey
⁩ International shipping is avail but check your mail service due to Covid restrictions.
bonfire.com
Heughan's Heughligans | Official Merchandise | Bonfire
A Sam Heughan fan community. All of our items go to our supported charities. Thank you for supporting Heughan's Heughligans, Sam, and those charities!
4
10
50",,4,10,50,['https://pbs.twimg.com/card_img/1458232232280084485/L-DrkwOU?format=jpg&name=small'],https://twitter.com/Heughligans/status/1455323347655479301
34,Shenanigans and Malfeasance,@rhoadessean,2021-11-01T23:56:21.000Z,"Shenanigans and Malfeasance
@rhoadessean
·
11월 2일","Have lingering neurological issues from covid. I just want this to be over.
3
2
26",,3,2,26,[],https://twitter.com/rhoadessean/status/1455322853734187009
35,Chris Carman,@ccarman602,2021-11-01T23:57:16.000Z,"Chris Carman
@ccarman602
·
11월 2일","@wsbgnl
 님에게 보내는 답글
Narrator: Children, in fact, spread covid.
2
9",,,2,9,[],https://twitter.com/ccarman602/status/1455323084580343808
36,Christian J. Ehrlich,@CJEhrlichM,2021-11-01T23:53:33.000Z,"Christian J. Ehrlich
@CJEhrlichM
·
11월 2일","Just about to give a lecture on ""post-pandemic security scenarios"". IMHO, that assumption is wrong. We should not ask ""how"" things have changed but ""if"" they have changed at all. The truth is, COVID accelerated trends already present. They were just there, before our eyes.
1
2
7",,1,2,7,[],https://twitter.com/CJEhrlichM/status/1455322150274048003
37,Danica Dy,@Danica_MDy,2021-11-01T23:58:35.000Z,"Danica Dy
@Danica_MDy
·
11월 2일","Excited to share my very first article for 
@UNC_SWAC
 The PipettePen on vaccine equity! The development of the mRNA COVID-19 vaccine was monumental but ending the pandemic will take more than science. Health for all in the name of human rights! 
http://thepipettepen.com/at-the-intersection-of-science-and-global-health-vaccine-equity/…
3
16",🌎,,3,16,[],https://twitter.com/Danica_MDy/status/1455323416261693452
38,Benjamin Terry,@drbenjaminterry,2021-11-01T23:58:55.000Z,"Benjamin Terry
@drbenjaminterry
·
11월 2일","@ashishkjha
 님에게 보내는 답글
“ Only a few a dozen NYPD members were placed on unpaid leave Monday after refusing to get the COVID-19 vaccine — but thousands of unvaccinated employees remain on the job with pending exemption requests, the city’s top cop said.” - NY Post
1
4
36",,1,4,36,[],https://twitter.com/drbenjaminterry/status/1455323497715150850
39,David Windt,@DavidLWindt,2021-11-01T23:53:00.000Z,"David Windt
@DavidLWindt
·
11월 2일","#Ireland: ""Longford town and surrounding areas now have the highest rate of Covid-19 in the State ... Some 99.7 per cent of adults over the age of 18 (as registered in the last census) are fully vaccinated in the county.""

https://irishtimes.com/news/ireland/irish-news/longford-town-has-highest-rate-of-covid-19-in-the-state-1.4713423…

Because #VaccinesWork! 
3
11
18",🤪,3,11,18,['https://pbs.twimg.com/media/FDJGNiaXoAImZ4i?format=png&name=small'],https://twitter.com/DavidLWindt/status/1455322009068445700
40,Steve W,@SteveWYwg,2021-11-01T23:51:04.000Z,"Steve W
@SteveWYwg
·
11월 2일","@MaximeBernier
 님에게 보내는 답글
We are at war with a bunch of ultra rich criminals, corporations & global group who OPENLY brag about how they want to enslave, depopulated, track & control us in an scientific Orwellian police state, under the guise of the climate/covid... while they live as our elite rulers. 
10
33",🖕,,10,33,[],https://twitter.com/SteveWYwg/status/1455321525050032129
41,"HEY, IT’S ZRAY! ANW",@zrayUH,2021-11-01T23:55:33.000Z,"HEY, IT’S ZRAY! ANW
@zrayUH
·
11월 2일","Just scheduled my COVID BOOSTER for Thursday!! 

Thought it’d be good to get before ANW and flu season — excited but also terrified because the second dose knocked me out with a 103 fever for 24 hours bahah! Gonna try to get everything done this week!
7
16",👑 🔜 😳 😳 😳,7,,16,[],https://twitter.com/zrayUH/status/1455322650176196610
42,Nationwide90FM,@NationwideRadio,2021-11-01T23:50:24.000Z,"Nationwide90FM
@NationwideRadio
·
11월 2일","The worldwide death toll from Covid-19 has now surpassed five million.

That’s according to figures released by John Hopkins University.

Vaccines have slowed the death rate, but some health experts say the true toll could be far higher.
nationwideradiojm.com
Global Covid-19 Death Toll Passes 5-Million - Nationwide 90FM
The worldwide death toll from Covid-19 has now surpassed five million. That’s according to figures released by John Hopkins University. Vaccines have slowed the death rate, but some health experts...
2
5
6",,2,5,6,['https://pbs.twimg.com/card_img/1460457710013583362/42Ly58bb?format=jpg&name=small'],https://twitter.com/NationwideRadio/status/1455321356078403587
43,Shane,@okayshane_,2021-11-01T23:50:52.000Z,"Shane
@okayshane_
·
11월 2일","@MonicaGandhi9
 님에게 보내는 답글
What exactly is ‘right-wing covid denial?’ Majority of Democrats believe the hospitalization rate for covid is 50%. They have been the most uninformed party throughout this, and pushed harmful ineffective NPIs such as masks. Republicans have been mostly right on this one.
1
22",🙂,,1,22,[],https://twitter.com/okayshane_/status/1455321472579289093
44,Cauli Minogay,@CauliMinogay,2021-11-01T23:57:34.000Z,"Cauli Minogay
@CauliMinogay
·
11월 2일","@blakeissweaty
 님, 
@ramonasinger
 님, 
@TheRightMelissa
 님에게 보내는 답글
She died of COVID because she refused to get vaccinated
3
2
59",,3,2,59,[],https://twitter.com/CauliMinogay/status/1455323161201889287
45,shamalamadingdong bCE.,@introvertedpnw,2021-11-01T23:55:55.000Z,"shamalamadingdong bCE.
@introvertedpnw
·
11월 2일","Just ordered my son's birthday cheesecake and scheduled his COVID vaccination. Living our best and safe lives while protecting others is the best birthday gift.
4
54",,4,,54,[],https://twitter.com/introvertedpnw/status/1455322744619290624
46,Whyttl,@pmackey_whttyl,2021-11-01T23:52:07.000Z,"Whyttl
@pmackey_whttyl
·
11월 2일","@MichaelZarrabi
 님에게 보내는 답글
I question the fundamental objectivity of journalism 2022. Imagine Virginia as prelude to 2022.  Polling reversed in 14 days. MSM is so desirous for a major story as COVID and anti-vax chills, Is MSM creating a false flag or is Virginia Politics delivering the sad honest truth?
1
3
9",,1,3,9,[],https://twitter.com/pmackey_whttyl/status/1455321786795667469
47,Маrk Hawthorne,@MarkyHawthorne,2021-11-01T23:52:48.000Z,"Маrk Hawthorne
@MarkyHawthorne
·
11월 2일","@KristySwansonXO
 님에게 보내는 답글
I guess kristy didn't get the memo that vaccinated people don't require ambulance rides and oxygen when they get covid.
1
14",,,1,14,[],https://twitter.com/MarkyHawthorne/status/1455321958774673414
48,Jaybird,@Bird_Shapes,2021-11-01T23:59:46.000Z,"Jaybird
@Bird_Shapes
·
11월 2일","@doddleoddle
 님에게 보내는 답글
as someone who also has dpdr, i started high school after developing the disorder and also during covid, so my closest friends, my partner, some of my favourite people are people who i feel like i hardly even know. i’m just thankful that they all stick around anyways, y’know?
25",,,,25,[],https://twitter.com/Bird_Shapes/status/1455323712517853184
49,"Katrin Rabiei, MD PhD",@DrKatrin_Rabiei,2021-11-01T23:55:04.000Z,"Katrin Rabiei, MD PhD
@DrKatrin_Rabiei
·
11월 2일","@tomfolanmd
 님에게 보내는 답글
Get well soon! Terrible to read this indeed! ""Living w covid"" is putting everyone in danger.
1
5",,,1,5,[],https://twitter.com/DrKatrin_Rabiei/status/1455322528587599872
50,WXYZ Detroit,@wxyzdetroit,2021-11-01T23:54:57.000Z,"WXYZ Detroit
@wxyzdetroit
·
11월 2일","Beaumont doctor expresses concerns about second fall and winter amid COVID-19
wxyz.com
Beaumont doctor expresses concerns about second fall and winter amid COVID-19
Michigan’s COVID-19 infections and death rates are still a major concern for medical professionals.
11
1
9",,11,1,9,['https://pbs.twimg.com/card_img/1460409038962065408/4NO_X2NW?format=jpg&name=small'],https://twitter.com/wxyzdetroit/status/1455322501089832966
51,Micah Rafferty,@mango4242,2021-11-01T23:55:26.000Z,"Micah Rafferty
@mango4242
·
11월 2일","@TessHope3
 님, 
@wingdigit
 님, 
@jennobenno
 님에게 보내는 답글
I guess you forgot about year 4 when he refused to procure adequate Covid testing and PPE, leaving states to search the globe and get in price wars. While Trump kept saying it would magically disappear. Economy in freefall—that’s what he left Joe.
2
1
9",,2,1,9,['https://pbs.twimg.com/media/FDJYNcqXMAAn2Zq?format=jpg&name=small'],https://twitter.com/mango4242/status/1455322621290090499
52,Future Governor Of New Jersey Elect!! Alex Allis,@My3Alexandra,2021-11-01T23:57:09.000Z,"Future Governor Of New Jersey Elect!! Alex Allis
@My3Alexandra
·
11월 2일","@Oldglorycries
 님에게 보내는 답글
He also said no questions on politics but blamed Trump for his late response to covid
2
3
13",,2,3,13,[],https://twitter.com/My3Alexandra/status/1455323052732997640
53,Michael Brendan Dougherty,@michaelbd,2021-11-01T23:58:57.000Z,"Michael Brendan Dougherty
@michaelbd
·
11월 2일","@petespiliakos
 님에게 보내는 답글
Inflation, Covid confusion, and a message that experts don’t need your help raising your kids for you.
2
4
12",,2,4,12,[],https://twitter.com/michaelbd/status/1455323507592679430
54,John Coates,@JohnCoa77445452,2021-11-01T23:43:31.000Z,"John Coates
@JohnCoa77445452
·
11월 2일","@UKCovid19Stats
 님에게 보내는 답글
Wales data from last week has messed this up. Cases in general are dropping.
1",,,,1,[],https://twitter.com/JohnCoa77445452/status/1455319625613316099
55,David Bedford,@DBedford2421,2021-11-01T23:50:10.000Z,"David Bedford
@DBedford2421
·
11월 2일","@jhorst20
 님과 
@anthonytbroome
 님에게 보내는 답글
Hahahahahahahaha.  Uofm never loses. It’s always the weather, Covid, fluke play, refs.  Am I missing anything else ?  Up by 16.  What losers.
2
38",,2,,38,[],https://twitter.com/DBedford2421/status/1455321296687013892
56,Tired & Sakit,@tulunsokit,2021-11-01T23:58:25.000Z,"Tired & Sakit
@tulunsokit
·
11월 2일","@melatinungsari
 님에게 보내는 답글
Public Healthcare needs a much bigger budget post COVID as the decimated economy will push more patients to public hospitals and the neglect of NCDs during the pandemic means many would have progressed. 

Problem: Money to KKM doesn't enrich politicians - mostly operating costs.
3
3
9",,3,3,9,[],https://twitter.com/tulunsokit/status/1455323375551713281
57,Colorado needs a mask mandate,@CCSDMaskUp,2021-11-01T23:50:24.000Z,"Colorado needs a mask mandate
@CCSDMaskUp
·
11월 2일","@JesseAPaul
 님과 
@jaredpolis
 님에게 보내는 답글
Businesses won't recover unless we actually do something to stop covid.  #mandatemasks 
@GovofCO
2
1
10",,2,1,10,[],https://twitter.com/CCSDMaskUp/status/1455321357223301122
58,“Shall Not Be Infringed”,@saturn5D,2021-11-01T23:57:03.000Z,"“Shall Not Be Infringed”
@saturn5D
·
11월 2일","@njsmith71880
 @DockeryMarlene
  님, 다른 사람 2명에게 보내는 답글
Maybe they made the choice that they would rather take their chances and die free instead of under the dictators thumb. These mandates are 100% political. The vaccine neither prevents you from getting Covid or from transmitting it.
5
5
29",,5,5,29,[],https://twitter.com/saturn5D/status/1455323028204802052
59,Dodi Rains,@dodi_rains,2021-11-01T23:50:31.000Z,"Dodi Rains
@dodi_rains
·
11월 2일","@kathygarriott1
 님, 
@ken3598
 님, 
@maddow
 님에게 보내는 답글
A lot of people died from Covid.  I know that as fact, because I watched it with my own eyes.  The same is true for vaccine deaths.  I don’t know exact numbers of either one.  That doesn’t change the fact that they both kill people.
7
10
34",™,7,10,34,[],https://twitter.com/dodi_rains/status/1455321383760801792
60,Inquirer,@inquirerdotnet,2021-11-01T23:48:08.000Z,"Inquirer
@inquirerdotnet
·
11월 2일","Metro Manila is now ready for a more relaxed alert level 2 quarantine classification as all its 16 cities and lone municipality are at low risk of experiencing a surge in COVID-19 infections, the OCTA Research said. | 
@dpazzibuganINQ
 @LeilasINQ
newsinfo.inquirer.net
Metro Manila ready for shift to alert level 2 – OCTA | Inquirer News
Metro Manila is now ready for a more relaxed alert level 2 quarantine classification as all its 16 cities and lone municipality are at low risk of experiencing a surge in COVID-19 infections, the...
4
11",,,4,11,['https://pbs.twimg.com/card_img/1460413330951000065/pTlV7tgm?format=jpg&name=small'],https://twitter.com/inquirerdotnet/status/1455320783811645445
